Date,Y,Open,High,Low,Close,Volume,NYSE_Close,RUSS_Close,NASDAQ_Close,DJI_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
12-11-09,0.005722896,0.002068951,-0.003080633,-0.008179197,-0.010312341,4160250000,-0.012984757,-0.021125565,-0.008285650,-0.009155341,0.001840032,-0.012337497,-0.006829608,0.000029300,0.008504341,-0.000663240,0.004106782
13-11-09,0.014363915,-0.009808396,-0.003800419,0.000396271,0.005722896,3792610000,0.008015306,0.010217816,0.008737807,0.007133137,0.003764345,0.013545038,-0.003492249,-0.000044000,-0.003571964,-0.005321815,-0.006891213
16-11-09,0.000919076,0.005995288,0.014379758,0.008075439,0.014363915,4565850000,0.016328298,0.027904094,0.013729878,0.013202026,0.016162763,0.018291438,0.002133785,0.000029300,-0.004932377,-0.009718575,-0.007276016
17-11-09,-0.000468443,0.013697539,-0.002850452,0.007339583,0.000919076,3824070000,-0.000420146,-0.000879515,0.002694458,0.002922612,-0.006860195,0.001824018,-0.006275279,0.000190696,0.007166349,0.000841538,0.002468583
18-11-09,-0.013516784,0.000198318,0.000522142,0.000462608,-0.000468443,4293340000,-0.001016543,-0.003642446,-0.004839761,-0.001065006,-0.000711078,0.003690461,-0.005475434,-0.000132016,-0.005220386,0.005034412,0.001881005
19-11-09,-0.003220084,-0.002707730,-0.004202862,-0.013052990,-0.013516784,4178030000,-0.015207674,-0.024406059,-0.016699392,-0.009043959,-0.014024999,-0.000873286,-0.013245613,0.000132016,0.002539020,0.005009194,-0.005586168
20-11-09,0.013523927,-0.010703841,-0.010703841,-0.001461928,-0.003220084,3751230000,-0.004671145,-0.001708876,-0.005010631,-0.001383011,-0.003099127,0.005228314,-0.005438097,-0.000029300,0.003573559,0.008128103,-0.000787712
23-11-09,-0.000533480,0.000182688,0.016058051,0.007379701,0.013523927,3827920000,0.014275546,0.017177338,0.013868641,0.012787434,0.019629363,0.013295542,-0.005438097,0.000601204,-0.006561312,-0.005300658,0.000787712
24-11-09,0.004494025,0.009969683,-0.004342467,0.002526809,-0.000533480,3700820000,-0.002238694,-0.003756142,-0.003143709,-0.001650973,-0.005899170,0.002920260,-0.010169798,-0.000425204,-0.000299267,0.001493652,-0.003459295
25-11-09,-0.017383687,0.000596659,0.003263116,0.006465755,0.004494025,3036350000,0.008590300,-0.000658356,0.003162091,0.002937110,0.007634196,0.018847945,0.004251934,-0.000044000,-0.010833690,-0.007323601,-0.014015336
27-11-09,0.003785805,-0.000922259,-0.005151930,-0.019201043,-0.017383687,2362910000,-0.022659006,-0.025621378,-0.017434715,-0.014872482,-0.022450403,-0.011843349,-0.038888114,-0.000044000,0.009186120,0.011956303,-0.010124339
30-11-09,0.012002920,-0.013111718,-0.007472648,0.002313376,0.003785805,3895520000,0.003144939,0.004356326,0.002876464,0.003381306,-0.010540131,0.001696886,0.028658715,-0.000190676,-0.003303306,0.002966872,-0.002663117
01-12-09,0.000342636,0.007141713,0.013614027,0.011569182,0.012002920,4249310000,0.016739250,0.016203207,0.014447954,0.012177076,0.023137499,0.014208156,0.023962770,0.000176010,-0.003314254,-0.010090235,0.004626960
02-12-09,-0.008437646,0.009185180,0.002962486,0.005807165,0.000342636,3941340000,0.001432679,0.011625978,0.004228549,-0.001806516,0.002857252,0.016034435,0.003830851,-0.000234687,0.001357159,-0.002163602,0.010447256
03-12-09,0.005494370,0.001405646,0.001522711,-0.005943675,-0.008437646,4810030000,-0.009092192,-0.012339063,-0.005456432,-0.008312715,-0.002706667,-0.006932723,0.037655681,-0.000014700,0.000301341,0.006145688,0.007951401
04-12-09,-0.002471451,-0.009190393,0.001654438,-0.002022540,0.005494370,5781140000,0.003578864,0.023516278,0.009712749,0.002192238,0.001767682,-0.038858693,0.004491949,-0.000014700,0.013913008,0.004625814,0.025295147
07-12-09,-0.010304438,0.004614800,-0.007543144,0.003922912,-0.002471451,4103360000,-0.003763315,0.001276578,-0.002162429,0.000116464,-0.002200676,-0.002871273,0.014364649,0.000322689,0.001039424,0.000988468,-0.013681321
08-12-09,0.003665636,-0.002245808,-0.006938449,-0.011162788,-0.010304438,4748030000,-0.013998268,-0.009756500,-0.007619346,-0.010073561,-0.016632558,-0.025980031,-0.002671846,-0.000131997,0.009747530,0.013249560,-0.010243800
09-12-09,0.005822698,-0.010911138,-0.005454361,-0.002501726,0.003665636,4115410000,0.001608623,0.000551964,0.004930325,0.004953698,-0.003682751,0.000177226,-0.013477367,0.000073300,-0.002796381,-0.001951855,-0.003286681
10-12-09,0.003676275,0.006959695,0.008360274,0.011718634,0.005822698,3996490000,0.005204597,-0.004441063,0.003259737,0.006631697,0.007752496,0.002150795,-0.014284850,-0.000264026,0.000589362,-0.001951855,0.001588022
11-12-09,0.006935340,0.004785154,0.002031833,0.002409059,0.003676275,3791090000,0.002898182,0.008346275,-0.000251074,0.006291055,0.003274322,-0.013933568,0.024542197,0.000176025,0.007484076,0.001789346,0.009700053
14-12-09,-0.005562470,0.003508458,0.005631385,0.005884553,0.006935340,4548490000,0.008576306,0.015568504,0.009899204,0.002817971,0.010154291,0.010168853,-0.000216686,0.000219988,-0.002488474,-0.003581899,-0.004499951
15-12-09,0.001127594,0.005643706,-0.000583255,-0.002250147,-0.005562470,5045100000,-0.006288438,-0.005723229,-0.005007771,-0.004681905,-0.005565475,-0.001492087,-0.002199201,-0.000102655,0.007883253,0.002443595,0.009214379
16-12-09,-0.011880825,-0.004948902,0.001883138,0.002358460,0.001127594,4829820000,0.005492183,0.008049193,0.002658828,-0.001041491,0.006505713,0.011312538,0.009272117,0.000014700,0.001017368,-0.003585986,0.003780090
17-12-09,0.005812939,-0.002031631,-0.008863671,-0.010962793,-0.011880825,7615070000,-0.016430548,-0.011452579,-0.012245535,-0.012806341,-0.019492167,-0.034874779,-0.001338170,0.000131981,0.012415346,0.010234839,-0.002339964
18-12-09,0.010448907,-0.007712517,-0.002370935,-0.001826685,0.005812939,6325890000,0.003171748,0.010404928,0.014409117,0.001999308,-0.003994475,0.012929071,-0.002142241,-0.000161313,-0.000143482,0.001130765,0.008884998
21-12-09,0.003557240,0.006763008,0.012550695,0.010394830,0.010448907,3977340000,0.008565856,0.013065913,0.011673748,0.008219675,0.018531052,-0.017900915,0.004075670,-0.000014700,0.004295539,0.005474172,0.006799037
