Date,Y,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,DJI_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
31-10-14,-0.000118934,0.010907765,0.009353935,0.013305193,0.011663102,4292290000,0.015232469,0.012321799,0.014048473,0.011282161,0.012744118,-0.021849346,0.047125266,0.000540731,0.001514769,0.000320051,0.003366065
03-11-14,-0.002833812,0.008463979,0.003101928,0.006216893,-0.000118934,3555440000,-0.002824583,-0.003355554,0.001762742,-0.001397139,-0.008976239,-0.006251704,0.047125266,-0.000294908,0.008790713,0.001598721,0.032679644
04-11-14,0.005684325,-0.001189880,-0.004197569,-0.006311841,-0.002833812,3956260000,-0.004093137,-0.004692419,-0.003297151,0.001012947,-0.005254223,0.002365019,0.026970435,0.000917206,0.000624961,-0.000319540,0.007126204
05-11-14,0.003768396,-0.000257994,0.003856679,0.006679260,0.005684325,3766590000,0.001414797,0.006116187,-0.000631737,0.005775451,0.013099448,-0.024124898,0.004429029,-0.000491256,-0.004633987,-0.001599233,-0.001479342
06-11-14,0.000349484,0.003981563,0.003866474,0.000714591,0.003768396,3669770000,0.004095896,0.001797153,0.003834033,0.003992128,0.001848698,0.001209222,-0.008588304,-0.000212952,0.005882738,0.002557546,0.010301009
07-11-14,0.003115344,0.004453010,0.001303534,0.004558365,0.000349484,3704280000,0.001245107,0.001938446,-0.001281415,0.001107936,0.002439323,0.031081562,0.005220834,-0.000327708,0.007955294,0.007792041,0.004533774
10-11-14,0.000696430,-0.000172228,0.002180233,0.002515266,0.003115344,3284940000,0.005312628,0.002572031,0.004112391,0.002262725,0.006692744,-0.022753231,-0.005932715,0.001768347,-0.006458847,-0.002855332,-0.005598402
11-11-14,-0.000701336,0.003041614,0.001264712,0.002513868,0.000696430,2958320000,0.000330574,0.001373389,0.001920067,0.000065900,0.002432264,0.011106427,0.020268126,-0.000539997,0.002489111,0.002063002,0.001919001
12-11-14,0.000529726,-0.000220807,-0.000465503,-0.001637478,-0.000701336,3246650000,0.005501973,-0.002156799,0.003123496,-0.000153291,-0.002477642,-0.001486938,0.004250445,0.000818063,-0.003735994,-0.004607937,0.008400129
13-11-14,0.000240246,0.000716220,0.002863081,-0.000743405,0.000529726,3455270000,-0.009356982,-0.001389237,0.001068915,0.002302001,0.003699095,-0.000043000,0.011317895,0.000277989,0.003735994,0.009983444,-0.001305715
14-11-14,0.000735089,0.000259871,-0.001937189,0.002341576,0.000240246,3227130000,-0.001370662,0.001076804,0.001793209,-0.001023024,0.002844267,0.022286467,0.005620991,-0.000228926,-0.003735994,0.004091272,0.002195391
17-11-14,0.005120799,-0.000711128,0.000416127,-0.000363667,0.000735089,3152890000,-0.008194944,0.000240766,-0.003748052,0.000737476,0.002641375,-0.001835543,-0.030005765,0.000768332,-0.003374371,0.002352758,0.009212853
18-11-14,-0.001502249,0.001563814,0.006347679,0.003444608,0.005120799,3416190000,0.005183112,0.005356268,0.006708341,0.002267971,0.005545149,0.008818466,0.021579106,-0.000850104,0.005617642,0.001565436,-0.002140943
19-11-14,0.001965150,0.004730452,-0.001918106,-0.000543871,-0.001502249,3390850000,-0.010816396,-0.001300460,-0.005700500,-0.000118167,-0.001864879,-0.012102208,-0.003194084,-0.000490773,-0.006744967,0.000938086,0.001909942
20-11-14,0.005223213,-0.002582360,0.000828061,0.000058800,0.001965150,3128290000,0.011217929,0.000959505,0.005579279,0.001879410,-0.002646632,0.009350070,0.000700210,-0.000294580,-0.000626841,-0.002973631,0.010884426
21-11-14,0.002859972,0.005649085,0.008542461,0.007937092,0.005223213,3916420000,0.001425420,0.007992317,0.002357981,0.005125956,0.010707713,0.006479270,0.003269055,0.000654504,-0.000376294,-0.001411654,0.000744551
24-11-14,-0.001150748,0.003691912,-0.000622943,0.004037057,0.002859972,3128060000,0.012308578,0.001421117,0.008855280,0.000440104,-0.003115591,-0.003677011,0.003269055,0.000228975,0.013705672,0.002977825,-0.004169851
25-11-14,0.002802029,0.002456944,0.001949629,-0.000154970,-0.001150748,3392940000,-0.000514059,-0.001091941,0.000706391,-0.000166139,0.000193152,0.003202511,0.002882776,0.002743620,-0.004713479,-0.002977825,0.006011923
26-11-14,-0.002545655,-0.001348637,-0.000443641,0.000905269,0.002802029,2745260000,0.003609672,0.001679555,0.006090802,0.000718801,-0.000282312,-0.002592911,-0.001381959,-0.000848412,-0.003861730,-0.001570845,-0.005527939
28-11-14,-0.006852732,0.003582693,0.001190634,-0.000755141,-0.002545655,2504640000,-0.014713551,-0.008407872,0.000899890,0.000027500,-0.000981281,-0.025783058,0.004377877,0.000424296,0.001496633,-0.000314465,0.000331012
01-12-14,0.006364115,-0.004347245,-0.004819473,-0.007529267,-0.006852732,4159010000,-0.016483134,-0.006120701,-0.013505854,-0.002889481,-0.009896187,0.037592471,0.007432284,0.000668716,0.001992033,0.007207803,0.008652210
02-12-14,0.003757660,-0.005830750,0.001446349,0.002047114,0.006364115,3686650000,0.012400589,0.004724069,0.006002237,0.005763365,0.012792651,-0.011467197,0.004148268,0.001433785,-0.002615357,-0.007679687,-0.004688589
03-12-14,-0.001162496,0.006638835,0.003623603,0.006251810,0.003757660,3612680000,0.008997019,0.004303294,0.003915945,0.001847891,-0.003789375,0.009261979,0.003233700,-0.000407116,0.006587557,0.005491502,0.007461024
04-12-14,0.001663737,0.002989553,0.000510398,-0.002087678,-0.001162496,3408340000,-0.005102008,-0.003190580,-0.001054075,-0.000699193,-0.005553911,-0.003445566,0.009367721,0.000114009,0.005805711,-0.002977359,0.005580320
05-12-14,-0.007282994,-0.000414816,0.001024824,0.004098575,0.001663737,3419620000,0.007998548,0.001638495,0.002370632,0.003273389,0.009447106,-0.010777459,0.001856587,0.000716332,-0.005681833,0.000941177,-0.000408890
08-12-14,-0.000237857,0.000993341,-0.001776067,-0.008019281,-0.007282994,3800990000,-0.012955357,-0.009775747,-0.008416835,-0.005937255,-0.010525628,0.009316138,0.000847276,-0.000716332,0.007527647,0.007186408,0.014492347
09-12-14,-0.016486095,-0.008854221,-0.007339784,-0.009832680,-0.000237857,3970150000,0.017705439,-0.003905055,0.005423294,-0.002876563,-0.021619270,0.022633300,-0.006839934,0.003706357,-0.001722653,-0.005463215,-0.007522402
10-12-14,0.004525463,0.001122610,-0.000844771,-0.004883672,-0.016486095,4114440000,-0.022299555,-0.014798645,-0.017449273,-0.015172496,-0.004528194,-0.003865927,-0.022756927,0.002398549,-0.006424534,-0.002350546,-0.010900471
11-12-14,-0.016346465,-0.015141794,-0.001618709,0.001806436,0.004525463,3917950000,0.004379908,0.002613293,0.005140458,0.003597551,-0.005909736,0.001149130,-0.008951896,-0.001814588,-0.006341333,-0.003772403,-0.013777844
12-12-14,-0.006362811,0.001202480,-0.011390169,-0.012699135,-0.016346465,4157650000,-0.012520643,-0.017897994,-0.011656060,-0.018093131,-0.025247574,-0.004187231,0.006594501,0.001944076,0.006341333,0.001573564,0.010966838
15-12-14,-0.008525252,-0.012554094,-0.006694767,-0.010073895,-0.006362811,4361990000,-0.010590048,-0.008543599,-0.010463700,-0.005802985,-0.018889798,-0.024307643,-0.015792162,-0.000275181,-0.005593203,-0.000314515,-0.007100362
